gene_name,gene_id
AC004057.1,ENSG00000196656
AC004062.2,ENSG00000251312
AC004063.1,ENSG00000250670
AC004066.2,ENSG00000216425
AC004066.3,ENSG00000250522
AC004067.5,ENSG00000273447
AC004069.1,ENSG00000251473
AC004069.2,ENSG00000251259
AC004070.1,ENSG00000231110
AC004074.3,ENSG00000230311
AC004074.4,ENSG00000237014
AC004076.7,ENSG00000268533
AC004076.9,ENSG00000268163
AC004079.1,ENSG00000266055
AC004112.4,ENSG00000226851
AC004112.5,ENSG00000232922
AC004112.7,ENSG00000236232
AC004125.3,ENSG00000260264
AC004129.7,ENSG00000234406
AC004129.9,ENSG00000213798
AC004156.3,ENSG00000267666
AC004158.2,ENSG00000261008
AC004158.3,ENSG00000260664
AC004159.1,ENSG00000230853
AC004160.4,ENSG00000230435
AC004166.6,ENSG00000184616
AC004221.2,ENSG00000267778
AC004231.2,ENSG00000234477
AC004237.1,ENSG00000230612
AC004257.1,ENSG00000269635
AC004257.3,ENSG00000270143
AC004381.6,ENSG00000005189
AC004381.7,ENSG00000260510
AC004383.3,ENSG00000226107
AC004386.3,ENSG00000226515
AC004386.4,ENSG00000213269
AC004410.3,ENSG00000273309
AC004447.2,ENSG00000269131
AC004448.2,ENSG00000227078
AC004448.5,ENSG00000235979
AC004449.6,ENSG00000261204
AC004453.8,ENSG00000146677
AC004458.1,ENSG00000238385
AC004460.1,ENSG00000221379
AC004461.4,ENSG00000237347
AC004463.6,ENSG00000260924
AC004466.1,ENSG00000268069
AC004471.10,ENSG00000272682
AC004471.9,ENSG00000223461
AC004485.3,ENSG00000228944
AC004490.1,ENSG00000267122
AC004492.1,ENSG00000221356
AC004510.3,ENSG00000267308
AC004520.1,ENSG00000266430
AC004528.1,ENSG00000269169
AC004528.4,ENSG00000266990
AC004535.2,ENSG00000236414
AC004538.3,ENSG00000230333
AC004540.4,ENSG00000225792
AC004540.5,ENSG00000214870
AC004543.1,ENSG00000221576
AC004543.2,ENSG00000237921
AC004549.6,ENSG00000229893
AC004552.1,ENSG00000264746
AC004562.1,ENSG00000237560
AC004593.3,ENSG00000235669
AC004595.1,ENSG00000266862
AC004603.4,ENSG00000225877
AC004623.2,ENSG00000267755
AC004637.1,ENSG00000267304
AC004655.1,ENSG00000264224
AC004656.1,ENSG00000265506
AC004673.1,ENSG00000221786
AC004691.5,ENSG00000229263
AC004692.4,ENSG00000228680
AC004692.5,ENSG00000213717
AC004699.1,ENSG00000223201
AC004702.2,ENSG00000263494
AC004706.1,ENSG00000256806
AC004744.3,ENSG00000226522
AC004745.1,ENSG00000221192
AC004769.1,ENSG00000263954
AC004771.1,ENSG00000203562
AC004775.5,ENSG00000272203
AC004791.2,ENSG00000267453
