gene_name,gene_id
Gm5356,ENSMUSG00000069962
Gm29540,ENSMUSG00000099340
Gm35323,ENSMUSG00000102514
Gm8876,ENSMUSG00000083640
Gm14736,ENSMUSG00000082657
Mrgprb8,ENSMUSG00000050870
Nipa1,ENSMUSG00000047037
Gm29999,ENSMUSG00000102629
Kcnmb1,ENSMUSG00000020155
Gm15412,ENSMUSG00000085751
Gm15416,ENSMUSG00000085443
4930556G22Rik,ENSMUSG00000101764
Pex12,ENSMUSG00000018733
Bach1,ENSMUSG00000025612
Tenm4,ENSMUSG00000048078
Lrrc43,ENSMUSG00000063409
Gad2,ENSMUSG00000026787
4933417E11Rik,ENSMUSG00000101848
Kcnj10,ENSMUSG00000044708
Pigm,ENSMUSG00000050229
Nog,ENSMUSG00000048616
Gm37145,ENSMUSG00000102278
Wnt1,ENSMUSG00000022997
B230369F24Rik,ENSMUSG00000086350
Gm2018,ENSMUSG00000085798
Igkv14-126-1,ENSMUSG00000106372
Scmh1,ENSMUSG00000000085
RP23-234A12.5,ENSMUSG00000105005
4932411E22Rik,ENSMUSG00000047490
Dnlz,ENSMUSG00000075467
Robo2,ENSMUSG00000052516
Fgf6,ENSMUSG00000000183
Scarletltr,ENSMUSG00000093759
2810407A14Rik,ENSMUSG00000055972
Il31,ENSMUSG00000029437
Gm37458,ENSMUSG00000104285
2810414N06Rik,ENSMUSG00000100594
Gm20501,ENSMUSG00000092536
Csmd2os,ENSMUSG00000087459
Vmn1r45,ENSMUSG00000044248
Usp3,ENSMUSG00000032376
Gm37825,ENSMUSG00000104456
Csmd2,ENSMUSG00000028804
Mmrn1,ENSMUSG00000054641
4930461C15Rik,ENSMUSG00000086827
Gm12951,ENSMUSG00000085920
Vmn1r46,ENSMUSG00000061653
Tnfrsf23,ENSMUSG00000037613
Llph-ps1,ENSMUSG00000081459
Slc16a5,ENSMUSG00000045775
Vmn1r-ps29,ENSMUSG00000092303
Vmn1r47,ENSMUSG00000060724
RP23-67P7.1,ENSMUSG00000105239
Gm12826,ENSMUSG00000083446
Gm16061,ENSMUSG00000080972
RP23-64P1.1,ENSMUSG00000104555
Vmn1r48,ENSMUSG00000057592
Gm20534,ENSMUSG00000092588
Vmn1r-ps31,ENSMUSG00000092450
Por,ENSMUSG00000005514
BC026585,ENSMUSG00000033488
Cldn17,ENSMUSG00000055811
Gm11695,ENSMUSG00000085651
Cldn8,ENSMUSG00000050520
Sema4f,ENSMUSG00000000627
Fgf23,ENSMUSG00000000182
Zbtb38,ENSMUSG00000040433
Slc4a8,ENSMUSG00000023032
Ankfn1,ENSMUSG00000047773
Hmgb4os,ENSMUSG00000085717
RP23-304A10.3,ENSMUSG00000104556
Hmgb4,ENSMUSG00000048686
RP23-304A10.1,ENSMUSG00000105523
RP23-307I19.6,ENSMUSG00000105056
Gm15563,ENSMUSG00000086387
Gm26691,ENSMUSG00000097911
RP23-307I19.5,ENSMUSG00000106350
Igkv14-126,ENSMUSG00000094345
Gm7804,ENSMUSG00000103357
RP23-304A10.2,ENSMUSG00000106139
2310079G19Rik,ENSMUSG00000045331
Cxxc4,ENSMUSG00000044365
Lrrc23,ENSMUSG00000030125
Slamf9,ENSMUSG00000026548
Krtap27-1,ENSMUSG00000090515
Tigar,ENSMUSG00000038028
A930006L05Rik,ENSMUSG00000102097
2310061N02Rik,ENSMUSG00000050704
Vmn1r49,ENSMUSG00000095932
Ngfr,ENSMUSG00000000120
Platr31,ENSMUSG00000097525
Kdm5b,ENSMUSG00000042207
Chst12,ENSMUSG00000036599
1700110K17Rik,ENSMUSG00000087047
Eri3,ENSMUSG00000033423
Gramd1b,ENSMUSG00000040111
Pigv,ENSMUSG00000043257
Mobp,ENSMUSG00000032517
Nfe2,ENSMUSG00000058794
Kmt2d,ENSMUSG00000048154
Mob1a,ENSMUSG00000043131
RP23-210I6.1,ENSMUSG00000105834
Trpv4,ENSMUSG00000014158
1700001O22Rik,ENSMUSG00000044320
Vmn1r50,ENSMUSG00000094553
2410003L11Rik,ENSMUSG00000085860
Gm38122,ENSMUSG00000103087
Vmn1r51,ENSMUSG00000062818
Tbpl2,ENSMUSG00000061809
Epm2aip1,ENSMUSG00000046785
E130012A19Rik,ENSMUSG00000043439
9330179D12Rik,ENSMUSG00000097166
RP23-8L20.6,ENSMUSG00000107379
RP23-387P23.5,ENSMUSG00000107378
Ccnd2,ENSMUSG00000000184
Vmn1r53,ENSMUSG00000057697
Ralgds,ENSMUSG00000026821
Vmn1r52,ENSMUSG00000060816
Kcnt2,ENSMUSG00000052726
Gm20426,ENSMUSG00000092247
V1ra8,ENSMUSG00000062546
Ptgs2,ENSMUSG00000032487
Vmn1r-ps32,ENSMUSG00000061843
Gm11613,ENSMUSG00000085586
Cox20,ENSMUSG00000026500
Igkv11-125,ENSMUSG00000095737
Gm4287,ENSMUSG00000092552
Spsb2,ENSMUSG00000038451
RP23-403P6.1,ENSMUSG00000106755
Vmn1r-ps34,ENSMUSG00000099754
Igkv9-124,ENSMUSG00000096632
RP23-462C22.2,ENSMUSG00000105845
Mamdc4,ENSMUSG00000026941
RP23-462C22.1,ENSMUSG00000105633
Gm28062,ENSMUSG00000100725
C430002N11Rik,ENSMUSG00000101581
Gm37111,ENSMUSG00000104494
Tmem132a,ENSMUSG00000024736
4930435E12Rik,ENSMUSG00000022798
Gm15803,ENSMUSG00000081444
Tpi1,ENSMUSG00000023456
Hnrnpu,ENSMUSG00000039630
Macf1,ENSMUSG00000028649
RP23-174N20.1,ENSMUSG00000106398
Vmn1r54,ENSMUSG00000047203
Il1f8,ENSMUSG00000026985
Igkv9-123,ENSMUSG00000076512
RP24-476C7.2,ENSMUSG00000108119
Slc15a3,ENSMUSG00000024737
RP23-174N20.3,ENSMUSG00000105327
Nt5c,ENSMUSG00000020736
RP23-174N20.2,ENSMUSG00000104617
Igkv1-122,ENSMUSG00000095497
2310034C09Rik,ENSMUSG00000068078
RP23-77E5.1,ENSMUSG00000104610
Gm15802,ENSMUSG00000086175
2310057N15Rik,ENSMUSG00000048830
Dmap1,ENSMUSG00000009640
